Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Apr-08,0,0,0,0,0,5,5,0,0,0,0,35,14,21,48,13,34,1,2,1,1,8,6,2,0,0,0,4,2,2,102,141,89,52,20,228,0,0,0,0,3,225,157,14,143,0,0,0,0,546,648,52,10,24,14,4,0,6,4,2,8,66,5,7,0,0,7,22,14,6,2,34
May-08,2,0,0,0,2,1,1,0,3,3,0,36,16,20,56,15,30,11,5,2,3,7,3,4,1,0,1,3,0,3,114,94,60,34,15,241,0,0,0,0,1,240,145,8,137,3,1,2,0,498,612,66,12,33,18,3,0,7,4,3,4,77,12,2,0,0,2,16,4,10,2,30
Jun-08,0,0,0,0,0,7,4,3,12,12,0,40,15,25,56,15,31,10,5,4,1,3,1,2,1,0,1,1,0,1,125,133,110,23,8,189,0,0,0,0,1,188,144,4,140,3,0,3,0,477,602,54,6,31,16,1,0,9,7,2,9,72,11,17,1,0,16,17,8,7,2,45
Jul-08,1,1,0,0,0,6,5,1,1,1,0,36,14,22,67,15,36,16,1,1,0,5,2,3,2,2,0,3,0,3,122,95,69,26,17,184,0,0,0,0,1,183,157,9,148,1,0,1,0,454,576,89,9,43,30,6,1,8,5,3,9,106,7,6,0,0,6,30,19,6,5,43
Aug-08,0,0,0,0,0,7,5,2,1,1,0,30,12,18,54,15,32,7,4,4,0,14,2,12,2,0,2,1,0,1,113,75,46,29,13,183,0,0,0,0,0,183,130,6,124,3,0,3,0,404,517,80,5,44,28,3,0,4,3,1,8,92,4,6,0,0,6,16,6,6,4,26
Sep-08,0,0,0,0,0,7,6,1,12,12,0,33,20,13,48,18,29,1,1,1,0,7,1,6,0,0,0,7,0,7,115,115,65,50,22,222,0,0,0,0,0,222,197,16,181,5,0,5,0,561,676,76,9,36,23,3,5,2,2,0,10,88,5,11,0,0,11,21,11,6,4,37
Oct-08,0,0,0,0,0,9,9,0,3,3,0,36,11,25,58,17,29,12,0,0,0,14,13,1,2,0,2,2,1,1,124,107,64,43,25,258,0,0,0,0,1,257,210,5,205,8,3,5,0,608,732,53,1,26,23,3,0,1,0,1,7,61,5,43,1,0,42,17,2,14,1,65
Nov-08,2,1,1,0,0,2,2,0,10,10,0,27,12,15,47,12,29,6,3,2,1,8,4,4,2,0,2,3,0,3,104,118,80,38,22,220,0,0,0,0,0,220,190,17,173,4,1,3,0,554,658,68,3,40,22,3,0,6,2,4,8,82,4,8,0,0,8,30,16,8,6,42
Dec-08,0,0,0,0,0,15,15,0,0,0,0,33,13,20,54,17,29,8,4,2,2,14,7,7,2,0,2,4,0,4,126,73,53,20,16,162,0,0,0,0,0,162,139,8,131,7,3,4,0,397,523,73,15,39,16,3,0,4,2,2,11,88,14,50,0,0,50,25,10,8,7,89
Jan-09,0,0,0,0,0,8,3,5,25,25,0,36,16,20,67,18,28,21,4,4,0,3,2,1,2,0,2,1,0,1,146,95,62,33,17,209,0,0,0,0,1,208,214,14,200,10,1,9,0,545,691,35,2,18,12,3,0,2,1,1,6,43,16,4,0,0,4,39,26,9,4,59
Feb-09,1,1,0,0,0,4,4,0,2,2,0,47,16,31,51,8,31,12,2,1,1,8,4,4,0,0,0,1,1,0,116,86,55,31,6,169,0,0,0,0,2,167,156,12,144,3,0,3,0,420,536,69,6,30,28,5,0,10,3,7,7,86,5,3,1,0,2,25,14,4,7,33
Mar-09,0,0,0,0,0,4,4,0,4,4,0,39,14,25,50,16,30,4,3,1,2,7,5,2,1,1,0,3,0,3,111,111,48,63,16,187,0,0,0,0,1,186,176,15,161,2,0,2,0,492,603,58,4,25,22,7,0,3,0,3,13,74,9,7,0,0,7,38,26,5,7,54
Apr-09,0,0,0,0,0,7,2,5,3,3,0,45,21,24,57,17,35,5,5,2,3,9,6,3,0,0,0,2,1,1,128,89,46,43,14,208,0,0,0,0,1,207,145,12,133,1,0,1,0,457,585,83,8,41,29,5,0,13,2,11,6,102,11,16,1,0,15,26,14,3,9,53
May-09,0,0,0,0,0,4,4,0,5,5,0,22,11,11,59,22,28,9,3,3,0,21,8,13,2,0,2,4,0,4,120,85,53,32,13,160,0,0,0,0,4,156,129,14,115,3,1,2,0,390,510,90,3,54,27,5,1,3,2,1,16,109,1,4,0,0,4,18,9,8,1,23
Jun-09,1,0,0,0,1,9,9,0,19,15,4,26,14,12,40,8,23,9,4,4,0,11,7,4,0,0,0,1,0,1,111,106,75,31,19,193,0,0,0,0,3,190,162,16,146,3,0,3,0,483,594,75,5,41,26,3,0,6,3,3,11,92,4,5,2,0,3,18,8,4,6,27
Jul-09,0,0,0,0,0,9,6,3,13,13,0,23,12,11,52,22,24,6,2,1,1,7,3,4,2,0,2,3,1,2,111,93,57,36,23,207,0,0,0,0,1,206,153,10,143,1,0,1,0,477,588,154,54,41,39,4,16,6,6,0,11,171,7,13,0,0,13,20,13,3,4,40
Aug-09,0,0,0,0,0,11,6,5,5,5,0,28,11,17,62,14,33,15,2,2,0,9,5,4,0,0,0,4,1,3,121,91,53,38,21,175,0,0,0,0,3,172,120,9,111,2,0,2,0,409,530,88,17,40,20,8,3,8,6,2,13,109,13,58,0,0,58,40,29,6,5,111
Sep-09,0,0,0,0,0,13,11,2,19,18,1,29,10,19,47,15,30,2,6,4,2,15,7,8,2,1,1,3,1,2,134,107,62,45,13,178,0,0,0,0,1,177,142,8,134,6,0,6,0,446,580,103,9,51,34,7,2,3,2,1,8,114,8,1,0,0,1,26,13,10,3,35
Oct-09,1,0,0,0,1,7,4,3,3,3,0,37,14,23,49,18,23,8,6,5,1,14,9,5,0,0,0,6,2,4,123,120,80,40,18,226,0,0,0,0,0,226,154,7,147,2,0,2,0,520,643,90,12,35,33,10,0,11,5,6,13,114,7,6,0,0,6,51,37,6,8,64
Nov-09,0,0,0,0,0,9,8,1,16,16,0,35,14,21,66,30,30,6,5,4,1,16,9,7,1,0,1,6,0,6,154,127,76,51,25,197,0,0,0,0,2,195,168,17,151,4,1,3,0,521,675,123,8,55,47,11,2,20,12,8,11,154,12,3,0,0,3,46,33,8,5,61
Dec-09,2,0,0,0,2,7,7,0,5,5,0,44,17,27,66,15,39,12,6,3,3,14,11,3,1,0,1,1,0,1,146,148,101,47,27,196,0,0,0,0,4,192,150,11,139,2,1,1,0,523,669,67,17,29,16,5,0,10,4,6,10,87,11,20,0,0,20,34,18,8,8,65
Jan-10,0,0,0,0,0,18,4,14,1,1,0,36,11,25,60,19,33,8,2,1,1,15,10,5,0,0,0,3,1,2,135,151,108,43,26,194,0,0,0,0,1,193,159,15,144,2,0,2,0,532,667,74,6,34,30,3,1,13,6,7,9,96,7,4,0,0,4,20,14,2,4,31
Feb-10,0,0,0,0,0,3,2,1,7,7,0,32,15,17,65,21,35,9,6,3,3,10,9,1,0,0,0,5,1,4,128,101,67,34,13,137,0,0,0,0,2,135,154,14,140,4,1,3,0,409,537,63,7,28,24,4,0,11,10,1,12,86,10,4,1,0,3,26,17,5,4,40
