Region,Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Fremantle,Apr-08,1,0,0,1,0,8,3,5,3,3,0,28,9,19,83,20,60,3,6,5,1,18,13,5,1,0,1,4,2,2,152,399,250,149,88,793,0,0,0,0,7,786,346,33,313,5,0,5,0,1631,1783,89,2,57,27,3,0,19,10,9,16,124,54,116,0,0,116,47,37,4,6,217
Fremantle,May-08,0,0,0,0,0,5,5,0,5,5,0,49,10,39,97,42,46,9,3,2,1,17,11,6,3,0,3,18,0,18,197,468,330,138,91,839,0,0,0,0,9,830,367,40,327,3,0,3,0,1768,1965,156,6,96,51,3,0,17,15,2,27,200,123,164,0,0,164,35,21,10,4,322
Fremantle,Jun-08,1,0,0,0,1,5,5,0,0,0,0,38,9,29,78,32,32,14,10,5,5,14,7,7,3,0,3,17,5,12,166,461,342,119,75,761,0,0,0,0,7,754,386,31,355,11,0,11,0,1694,1860,139,7,96,35,1,0,25,18,7,18,182,53,36,2,0,34,119,101,13,5,208
Fremantle,Jul-08,2,1,0,0,1,21,12,9,15,15,0,45,10,35,73,23,47,3,6,5,1,13,6,7,4,0,4,12,1,11,191,362,272,90,80,663,0,0,0,0,5,658,312,30,282,8,0,8,0,1425,1616,107,13,62,30,1,1,16,12,4,9,132,43,30,1,0,29,38,24,9,5,111
Fremantle,Aug-08,1,0,0,1,0,6,5,1,16,12,4,40,10,30,84,29,51,4,7,5,2,31,22,9,2,0,2,14,0,14,201,372,265,107,69,664,0,0,0,0,3,661,302,30,272,4,1,3,0,1411,1612,132,7,70,48,6,1,18,10,8,11,161,52,51,3,0,48,88,72,10,6,191
Fremantle,Sep-08,0,0,0,0,0,12,10,2,26,26,0,35,8,27,97,37,56,4,9,8,1,19,14,5,2,0,2,23,3,20,223,299,199,100,68,660,0,0,0,0,2,658,332,36,296,6,0,6,0,1365,1588,107,10,56,37,4,0,16,9,7,9,132,89,28,1,0,27,43,34,4,5,160
Fremantle,Oct-08,1,1,0,0,0,22,7,15,3,3,0,46,13,33,117,44,70,3,7,6,1,13,8,5,2,0,2,12,2,10,223,393,249,144,83,813,0,0,0,0,5,808,394,35,359,4,2,2,0,1687,1910,85,5,52,26,2,0,15,10,5,3,103,56,33,1,0,32,37,20,11,6,126
Fremantle,Nov-08,0,0,0,0,0,14,10,4,1,1,0,55,16,39,108,43,58,7,17,13,4,17,14,3,2,0,2,13,1,12,227,319,207,112,71,683,0,0,0,0,2,681,356,35,321,6,0,6,0,1435,1662,120,4,68,41,7,0,12,6,6,6,138,46,31,1,0,30,50,27,21,2,127
Fremantle,Dec-08,1,0,0,0,1,9,6,3,9,9,0,50,12,38,83,27,51,5,6,5,1,19,12,7,1,0,1,11,2,9,189,226,157,69,58,683,0,0,0,0,4,679,357,47,310,14,1,13,0,1338,1527,112,8,67,30,7,0,20,8,12,14,146,61,29,0,0,29,35,29,4,2,125
Fremantle,Jan-09,0,0,0,0,0,15,11,4,2,2,0,41,16,25,103,54,43,6,7,6,1,24,14,10,3,0,3,17,4,13,212,342,219,123,73,805,0,0,0,0,5,800,410,62,348,9,0,9,0,1639,1851,100,3,57,36,4,0,36,33,3,7,143,65,67,0,0,67,36,19,13,4,168
Fremantle,Feb-09,0,0,0,0,0,13,11,2,2,2,0,55,18,37,95,37,53,5,8,5,3,23,12,11,2,0,2,18,5,13,216,339,245,94,72,775,0,0,0,0,2,773,302,25,277,9,1,8,0,1497,1713,145,27,64,47,7,0,15,13,2,19,179,85,105,2,0,103,41,28,9,4,231
Fremantle,Mar-09,0,0,0,0,0,15,9,6,5,5,0,34,8,26,122,50,63,9,7,6,1,31,22,9,0,0,0,26,3,23,240,353,262,91,91,827,0,0,0,0,10,817,395,40,355,11,1,10,0,1677,1917,139,12,72,42,13,0,24,20,4,16,179,74,52,0,0,52,42,23,18,1,168
Fremantle,Apr-09,0,0,0,0,0,14,9,5,3,3,0,27,6,21,72,23,43,6,0,0,0,18,9,9,1,0,1,14,3,11,149,400,261,139,114,814,0,0,0,0,4,810,394,38,356,3,0,3,0,1725,1874,128,19,86,19,4,0,10,7,3,10,148,57,152,12,0,140,28,9,11,8,237
Fremantle,May-09,0,0,0,0,0,24,9,15,8,4,4,31,7,24,84,29,45,10,6,6,0,17,10,7,0,0,0,16,6,10,186,309,220,89,84,838,0,0,0,0,4,834,376,29,347,9,0,9,0,1616,1802,138,6,86,41,4,1,11,7,4,8,157,35,79,0,0,79,46,31,13,2,160
Fremantle,Jun-09,0,0,0,0,0,9,7,2,3,2,1,41,10,31,92,40,48,4,5,5,0,8,6,2,0,0,0,17,2,15,175,354,272,82,100,878,0,0,0,0,3,875,418,32,386,8,0,8,0,1758,1933,133,14,67,43,9,0,16,10,6,20,169,71,23,0,0,23,26,17,4,5,120
