Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Sep-21,0,0,0,0,0,17,12,5,19,11,8,120,22,98,57,28,24,5,7,6,1,10,6,4,2,0,2,0,0,0,232,71,52,19,29,90,17,6,26,41,0,0,102,15,87,12,5,7,0,304,536,41,2,19,18,2,0,3,3,0,4,48,4,54,0,53,1,44,25,7,12,102
Oct-21,0,0,0,0,0,9,8,1,3,3,0,142,43,99,58,20,33,5,11,9,2,8,6,2,0,0,0,2,0,2,233,98,53,45,53,127,46,11,31,39,0,0,115,27,88,8,1,7,0,401,634,71,17,27,26,1,0,2,2,0,2,75,7,109,0,105,4,45,20,13,12,161
Nov-21,0,0,0,0,0,9,5,4,5,4,1,141,37,104,66,24,35,7,20,12,8,18,7,11,0,0,0,2,0,2,261,124,62,62,70,165,49,13,45,57,1,0,134,31,103,3,0,3,0,496,757,48,0,22,16,2,8,4,3,1,4,56,9,16,0,14,2,31,10,2,19,56
Dec-21,0,0,0,0,0,9,9,0,9,7,2,188,62,126,54,13,35,6,26,20,6,8,2,6,0,0,0,1,0,1,295,235,94,141,121,137,46,8,40,40,3,0,125,24,101,2,0,2,0,620,915,100,56,30,11,1,2,12,10,2,7,119,13,14,0,7,7,68,31,3,34,95
Jan-22,0,0,0,0,0,11,10,1,4,4,0,160,48,112,38,16,16,6,22,15,7,13,5,8,1,0,1,2,0,2,251,195,103,92,83,129,45,13,40,31,0,0,148,17,131,8,1,7,0,563,814,45,10,21,12,1,1,9,8,1,1,55,3,8,0,8,0,39,18,2,19,50
Feb-22,0,0,0,0,0,4,4,0,6,6,0,125,32,93,56,28,25,3,25,17,8,3,1,2,0,0,0,3,0,3,222,140,83,57,68,136,41,7,38,50,0,0,106,25,81,8,1,6,1,458,680,49,6,21,20,1,1,5,4,1,8,62,3,12,0,7,5,45,28,2,15,60
Mar-22,0,0,0,0,0,17,14,3,4,4,0,175,39,136,57,19,28,10,28,22,6,12,5,7,0,0,0,3,0,3,296,157,90,67,72,148,72,8,26,42,0,0,127,41,86,5,0,4,1,509,805,63,6,28,28,0,1,8,7,1,8,79,5,34,0,33,1,67,34,8,25,106
Apr-22,1,0,1,0,0,8,8,0,1,1,0,160,42,118,32,13,13,6,20,15,5,5,3,2,1,0,1,1,0,1,229,174,84,90,62,91,25,5,28,33,0,0,114,28,86,7,0,7,0,448,677,62,10,40,11,1,0,7,7,0,2,71,7,29,0,27,2,28,11,0,17,64
May-22,0,0,0,0,0,25,21,4,0,0,0,136,50,86,48,16,24,8,15,9,6,6,3,3,1,0,1,4,0,4,235,126,68,58,49,135,28,16,41,49,1,0,124,28,96,4,0,4,0,438,673,46,1,25,18,1,1,1,1,0,3,50,14,56,0,56,0,29,19,4,6,99
Jun-22,0,0,0,0,0,15,14,1,4,3,1,162,56,106,52,19,29,4,22,10,12,13,6,7,0,0,0,0,0,0,268,77,44,33,44,103,28,12,23,38,2,0,112,24,88,5,2,3,0,341,609,66,3,41,22,0,0,5,5,0,16,87,6,8,0,7,1,52,23,5,24,66
Jul-22,3,3,0,0,0,8,7,1,16,16,0,162,53,109,56,13,27,16,37,27,10,14,8,6,1,0,1,2,0,2,299,71,46,25,22,78,8,25,24,21,0,0,90,14,76,9,0,8,1,270,569,73,8,39,21,4,1,5,5,0,16,94,3,7,0,4,3,57,44,3,10,67
Aug-22,0,0,0,0,0,19,13,6,1,1,0,211,70,141,81,29,34,18,39,30,9,12,9,3,0,0,0,3,1,2,366,80,56,24,48,131,50,18,24,39,0,0,119,32,87,2,0,2,0,380,746,72,6,42,23,0,1,2,2,0,6,80,3,24,0,20,4,52,24,2,26,79
Sep-22,1,0,0,0,1,11,7,4,1,1,0,157,47,110,60,19,29,12,23,16,7,16,7,9,1,0,1,0,0,0,270,66,48,18,28,142,63,18,29,31,1,0,125,35,90,3,0,2,1,364,634,67,3,43,20,0,1,8,6,2,3,78,4,15,0,15,0,48,25,6,17,67
Oct-22,0,0,0,0,0,23,17,6,1,1,0,159,45,114,58,23,27,8,23,17,6,11,5,6,1,0,1,5,0,5,281,94,73,21,43,107,24,15,37,29,2,0,114,29,85,5,0,5,0,363,644,90,3,51,29,3,4,6,4,2,14,110,3,17,0,16,1,30,10,3,17,50
Nov-22,0,0,0,0,0,16,16,0,1,1,0,161,48,113,60,27,28,5,27,15,12,14,5,9,1,0,1,1,0,1,281,111,87,24,44,105,27,14,29,35,0,0,111,41,70,11,1,9,1,382,663,85,25,43,16,0,1,9,6,3,8,102,6,27,0,23,4,31,11,2,18,64
Dec-22,2,1,0,1,0,11,5,6,0,0,0,194,72,122,74,27,32,15,25,21,4,22,8,14,2,0,2,6,0,6,336,130,88,42,55,112,32,13,30,37,0,0,104,36,68,5,1,4,0,406,742,123,15,62,40,5,1,12,10,2,15,150,3,48,0,47,1,44,22,4,18,95
Jan-23,0,0,0,0,0,13,10,3,2,2,0,175,58,117,68,34,28,6,23,22,1,8,2,6,2,0,2,4,0,4,295,137,95,42,64,104,32,17,33,21,1,0,125,37,88,7,0,7,0,437,732,87,12,46,28,0,1,17,17,0,14,118,4,48,0,41,7,44,17,2,25,96
Feb-23,0,0,0,0,0,8,7,1,19,18,1,152,54,98,71,15,29,27,32,24,8,20,8,12,0,0,0,5,0,5,307,80,55,25,28,101,24,20,23,34,0,0,82,15,67,4,0,4,0,295,602,101,7,48,41,3,2,9,9,0,9,119,3,40,0,36,4,42,17,8,17,85
Mar-23,1,0,1,0,0,8,6,2,2,2,0,208,61,147,61,21,27,13,39,28,11,21,11,10,4,0,4,0,0,0,344,64,50,14,20,124,14,52,23,34,1,0,94,26,68,4,0,4,0,306,650,68,6,38,20,1,3,11,6,5,9,88,5,19,0,18,1,51,25,5,21,75
Apr-23,0,0,0,0,0,18,13,5,2,2,0,191,68,123,53,19,22,12,27,15,12,14,6,8,1,0,1,3,0,3,309,62,36,26,38,120,32,24,34,30,0,0,93,29,64,11,2,8,1,324,633,58,2,28,24,0,4,9,9,0,17,84,7,73,0,71,2,73,29,34,10,153
May-23,0,0,0,0,0,12,9,3,5,3,2,178,44,134,50,13,33,4,27,18,9,11,4,7,0,0,0,1,0,1,284,62,40,22,19,148,42,51,26,29,0,0,102,26,76,8,1,6,1,339,623,79,4,46,27,0,2,4,4,0,9,92,3,20,0,19,1,48,24,11,13,71
Jun-23,0,0,0,0,0,13,10,3,0,0,0,148,44,104,59,23,21,15,30,24,6,5,1,4,0,0,0,2,0,2,257,67,42,25,21,125,40,31,24,28,2,0,91,26,65,8,0,7,1,312,569,84,10,51,21,0,2,11,10,1,6,101,2,25,0,19,6,74,43,8,23,101
Jul-23,0,0,0,0,0,16,8,8,3,3,0,169,46,123,60,21,33,6,33,22,11,18,12,6,0,0,0,0,0,0,299,59,46,13,11,114,29,27,25,33,0,0,94,28,66,6,1,4,1,284,583,90,11,45,30,0,4,13,13,0,2,105,1,45,0,43,2,73,48,5,20,119
Aug-23,1,0,0,0,1,30,29,1,6,6,0,197,60,137,67,28,32,7,40,28,12,30,13,17,0,0,0,3,0,3,374,60,37,23,41,115,35,30,24,23,3,0,115,38,77,11,1,5,5,342,716,135,5,76,52,0,2,7,5,2,6,148,2,24,0,22,2,59,29,2,28,85
Sep-23,3,0,1,0,2,22,20,2,2,2,0,185,56,129,71,30,32,9,49,33,16,27,11,16,0,0,0,2,0,2,361,51,30,21,17,102,28,27,24,22,1,0,112,37,75,10,2,7,1,292,653,73,10,33,27,1,2,8,8,0,9,90,0,20,0,17,3,30,9,0,21,50
