Region,Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Armadale,Apr-08,2,0,1,0,1,14,10,4,4,4,0,58,23,35,81,40,38,3,8,8,0,19,12,7,1,0,1,13,1,12,200,223,135,88,58,582,0,0,0,0,4,578,291,19,272,10,0,10,0,1164,1364,87,12,50,22,3,0,9,5,4,25,121,210,28,0,0,28,31,21,6,4,269
Armadale,May-08,0,0,0,0,0,12,9,3,15,14,1,48,11,37,64,26,35,3,11,9,2,12,7,5,3,0,3,11,2,9,176,297,192,105,53,679,0,0,0,0,5,674,276,39,237,15,0,15,0,1320,1496,132,15,74,40,3,0,9,5,4,15,156,231,21,0,0,21,39,26,5,8,291
Armadale,Jun-08,0,0,0,0,0,12,8,4,9,5,4,40,12,28,71,21,47,3,7,5,2,18,14,4,2,0,2,17,4,13,176,262,158,104,48,553,0,0,0,0,3,550,293,37,256,11,0,11,0,1167,1343,134,10,77,41,6,0,21,19,2,45,200,148,58,0,0,58,25,16,5,4,231
Armadale,Jul-08,0,0,0,0,0,10,5,5,15,14,1,30,10,20,47,15,28,4,9,9,0,26,19,7,2,0,2,11,4,7,150,297,201,96,59,526,0,0,0,0,2,524,320,28,292,6,0,6,0,1208,1358,185,56,91,35,3,0,23,16,7,30,238,178,18,2,0,16,56,39,8,9,252
Armadale,Aug-08,0,0,0,0,0,17,12,5,14,14,0,39,9,30,79,31,42,6,6,6,0,29,19,10,3,0,3,21,0,21,208,273,207,66,74,530,0,0,0,0,2,528,326,37,289,16,0,16,0,1219,1427,88,4,58,21,4,1,48,4,44,13,149,176,35,1,0,34,32,10,21,1,243
Armadale,Sep-08,0,0,0,0,0,14,9,5,26,25,1,40,15,25,85,23,57,5,10,7,3,30,20,10,3,0,3,19,2,17,227,274,198,76,46,613,0,0,0,0,2,611,357,46,311,7,0,7,0,1297,1524,119,16,58,39,6,0,6,5,1,30,155,93,14,0,0,14,76,49,20,7,183
Armadale,Oct-08,0,0,0,0,0,11,10,1,5,5,0,49,15,34,106,42,56,8,0,0,0,20,14,6,3,1,2,16,1,15,210,209,135,74,47,524,0,0,0,0,2,522,296,35,261,7,0,7,0,1083,1293,103,12,58,31,2,0,7,6,1,13,123,144,152,4,0,148,44,39,1,4,340
Armadale,Nov-08,0,0,0,0,0,13,11,2,4,4,0,49,18,31,82,33,45,4,6,5,1,15,8,7,2,0,2,15,2,13,186,217,147,70,49,456,0,0,0,0,4,452,364,34,330,5,0,5,0,1091,1277,96,10,52,22,12,0,18,16,2,20,134,158,19,1,0,18,29,17,7,5,206
Armadale,Dec-08,0,0,0,0,0,14,9,5,1,1,0,57,15,42,75,22,49,4,9,8,1,8,7,1,2,0,2,13,1,12,179,195,129,66,27,396,0,0,0,0,2,394,344,38,306,11,0,11,0,973,1152,102,5,63,29,5,0,9,5,4,17,128,169,34,0,0,34,52,33,11,8,255
Armadale,Jan-09,0,0,0,0,0,6,5,1,0,0,0,67,14,53,80,36,37,7,9,9,0,10,7,3,0,0,0,6,3,3,178,209,142,67,61,487,0,0,0,0,2,485,331,29,302,15,1,14,0,1103,1281,99,7,72,14,6,0,27,23,4,12,138,142,46,1,0,45,88,83,1,4,276
