Region,Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Mandurah,Nov-10,1,0,0,0,1,24,17,7,12,12,0,83,14,69,90,33,52,5,12,10,2,10,6,4,1,0,1,7,0,7,240,260,191,69,48,580,0,0,0,0,1,579,274,38,236,7,2,5,0,1169,1409,49,5,23,17,4,0,17,14,3,13,79,88,22,0,0,22,45,37,5,3,155
Mandurah,Dec-10,0,0,0,0,0,5,5,0,4,4,0,120,18,102,117,40,74,3,14,12,2,24,15,9,3,1,2,16,3,13,303,267,221,46,50,485,0,0,0,0,2,483,276,45,231,11,4,7,0,1089,1392,71,2,38,21,10,0,11,7,4,11,93,79,35,0,0,35,55,42,10,3,169
Mandurah,Jan-11,1,1,0,0,0,30,27,3,2,2,0,116,22,94,114,39,66,9,7,6,1,17,8,9,1,0,1,15,2,13,303,361,251,110,61,571,0,0,0,0,5,566,311,49,262,9,2,7,0,1313,1616,55,2,29,18,6,0,18,10,8,16,89,164,62,1,0,61,78,59,13,6,304
Mandurah,Feb-11,2,0,0,0,2,16,10,6,9,9,0,114,28,86,109,23,80,6,13,13,0,21,9,12,2,0,2,15,0,15,301,250,168,82,53,536,0,0,0,0,7,529,242,31,211,3,1,2,0,1084,1385,71,9,38,15,9,0,10,8,2,8,89,112,20,3,0,17,49,18,22,9,181
Mandurah,Mar-11,0,0,0,0,0,37,36,1,9,6,3,79,11,68,104,30,71,3,5,4,1,22,18,4,4,0,4,17,2,15,277,249,191,58,67,624,0,0,0,0,3,621,279,29,250,10,2,8,0,1229,1506,227,110,56,39,20,2,10,6,4,30,267,61,64,5,0,59,46,28,11,7,171
Mandurah,Apr-11,1,1,0,0,0,34,33,1,24,24,0,71,14,57,87,35,52,0,10,9,1,21,14,7,0,0,0,27,8,19,275,298,236,62,67,544,0,0,0,0,7,537,268,40,228,2,0,2,0,1179,1454,106,7,59,35,5,0,8,5,3,11,125,69,38,1,0,37,55,36,6,13,162
Mandurah,May-11,3,0,3,0,0,19,16,3,12,12,0,85,7,78,96,33,58,5,9,8,1,17,7,10,0,0,0,14,4,10,255,257,205,52,50,608,0,0,0,0,2,606,268,25,243,5,0,5,0,1188,1443,95,9,47,31,8,0,13,12,1,13,121,81,33,1,0,32,67,40,23,4,181
Mandurah,Jun-11,0,0,0,0,0,11,8,3,30,29,1,75,9,66,76,22,50,4,15,11,4,8,4,4,2,0,2,11,1,10,228,303,237,66,56,553,0,0,0,0,2,551,226,23,203,4,0,4,0,1142,1370,68,6,44,14,4,0,11,6,5,14,93,72,27,0,0,27,32,21,4,7,131
Mandurah,Jul-11,0,0,0,0,0,9,5,4,12,6,6,87,14,73,67,24,43,0,10,9,1,10,9,1,2,0,2,10,4,6,207,260,185,75,77,524,0,0,0,0,2,522,333,21,312,4,0,4,0,1198,1405,133,21,55,29,28,0,14,10,4,16,163,52,27,0,0,27,36,22,4,10,115
Mandurah,Aug-11,0,0,0,0,0,15,14,1,23,19,4,70,7,63,90,30,58,2,10,9,1,19,8,11,1,0,1,12,1,11,240,264,210,54,63,529,0,0,0,0,1,528,314,26,288,2,0,2,0,1172,1412,85,7,44,21,12,1,10,9,1,13,108,205,17,0,0,17,41,27,10,4,263
Mandurah,Sep-11,0,0,0,0,0,14,8,6,15,15,0,64,9,55,89,20,67,2,12,10,2,25,13,12,1,0,1,18,4,14,238,289,212,77,71,512,0,0,0,0,4,508,223,25,198,9,0,9,0,1104,1342,137,15,52,53,17,0,12,9,3,21,170,71,44,4,0,40,49,31,12,6,164
Mandurah,Oct-11,0,0,0,0,0,23,13,10,42,40,2,112,8,104,90,34,50,6,11,9,2,14,11,3,1,0,1,9,0,9,302,273,213,60,55,533,0,0,0,0,2,531,257,35,222,8,0,8,0,1126,1428,84,8,36,31,9,0,35,35,0,9,128,57,67,0,0,67,73,63,4,6,197
Mandurah,Nov-11,0,0,0,0,0,11,6,5,45,41,4,79,9,70,97,25,64,8,12,8,4,17,9,8,1,0,1,15,2,13,277,267,212,55,68,589,0,0,0,0,1,588,254,26,228,13,1,12,0,1191,1468,92,11,44,31,5,1,16,12,4,10,118,66,20,2,0,18,64,47,11,6,150
Mandurah,Dec-11,2,1,1,0,0,10,7,3,24,24,0,105,18,87,83,28,47,8,8,7,1,15,9,6,2,0,2,10,0,10,259,276,206,70,69,503,0,0,0,0,2,501,274,28,246,5,0,5,0,1127,1386,81,4,44,23,10,0,23,14,9,15,119,86,110,1,0,109,38,21,8,9,234
Mandurah,Jan-12,0,0,0,0,0,13,12,1,23,19,4,105,23,82,121,50,62,9,8,8,0,16,6,10,3,0,3,18,1,17,307,350,241,109,88,569,0,0,0,0,0,569,283,24,259,10,0,10,0,1300,1607,82,8,40,28,5,1,19,15,4,34,135,63,38,4,0,34,59,42,7,10,160
Mandurah,Feb-12,2,0,0,1,1,15,13,2,22,22,0,107,14,93,99,27,68,4,18,13,5,15,9,6,5,0,5,15,3,12,298,352,236,116,103,608,0,0,0,0,3,605,270,43,227,17,7,10,0,1350,1648,118,11,61,39,7,0,12,11,1,31,161,66,29,1,0,28,52,27,11,14,147
Mandurah,Mar-12,0,0,0,0,0,29,28,1,3,1,2,99,13,86,99,31,63,5,10,6,4,18,12,6,2,0,2,25,6,19,285,275,174,101,96,589,0,0,0,0,10,579,243,24,219,12,5,7,0,1215,1500,115,8,56,43,7,1,10,6,4,38,163,43,36,2,0,34,134,109,17,8,213
Mandurah,Apr-12,0,0,0,0,0,17,13,4,10,7,3,94,12,82,71,21,37,13,6,4,2,23,14,9,1,1,0,16,1,15,238,352,218,134,87,674,0,0,0,0,4,670,229,38,191,6,0,6,0,1348,1586,129,11,68,38,12,0,11,8,3,38,178,44,64,1,0,63,41,27,8,6,149
Mandurah,May-12,2,0,1,1,0,17,14,3,77,65,12,105,9,96,66,20,42,4,15,10,5,18,15,3,1,1,0,14,4,10,315,329,251,78,82,648,0,0,0,0,2,646,241,31,210,2,0,2,0,1302,1617,139,18,67,44,9,1,19,15,4,25,183,41,504,3,0,501,62,36,11,15,607
Mandurah,Jun-12,1,0,1,0,0,10,7,3,17,13,4,83,15,68,73,14,50,9,8,4,4,19,13,6,1,0,1,10,5,5,222,284,179,105,69,484,0,0,0,0,5,479,217,27,190,7,0,7,0,1061,1283,109,18,57,27,5,2,16,12,4,20,145,30,244,0,0,244,79,57,9,13,353
Mandurah,Jul-12,1,1,0,0,0,22,21,1,7,5,2,79,9,70,64,20,43,1,13,10,3,12,8,4,3,1,2,10,1,9,211,195,133,62,63,512,0,0,0,0,1,511,250,25,225,7,0,7,0,1027,1238,106,17,48,33,8,0,9,8,1,14,129,44,162,0,0,162,57,48,6,3,263
Mandurah,Aug-12,0,0,0,0,0,18,13,5,16,16,0,98,12,86,72,17,49,6,13,12,1,21,14,7,2,0,2,9,0,9,249,261,204,57,82,627,0,0,0,0,1,626,231,35,196,8,0,8,0,1209,1458,146,12,76,54,4,0,12,9,3,36,194,32,20,1,0,19,83,54,12,17,135
Mandurah,Sep-12,0,0,0,0,0,22,18,4,81,81,0,76,12,64,79,24,48,7,12,9,3,14,7,7,0,0,0,11,2,9,295,315,235,80,68,603,0,0,0,0,2,601,241,32,209,12,2,10,0,1239,1534,82,7,47,23,4,1,16,15,1,34,132,32,39,2,0,37,42,24,7,11,113
Mandurah,Oct-12,0,0,0,0,0,32,30,2,13,11,2,116,12,104,108,34,67,7,20,13,7,24,15,9,1,1,0,22,5,17,336,395,319,76,132,776,0,0,0,0,0,776,296,41,255,5,0,5,0,1604,1940,87,4,44,27,12,0,4,4,0,15,106,126,491,0,0,491,80,50,13,17,697
Mandurah,Nov-12,0,0,0,0,0,40,34,6,26,24,2,137,17,120,86,23,59,4,9,7,2,24,15,9,0,0,0,16,0,16,338,397,319,78,97,674,0,0,0,0,1,673,237,31,206,11,0,11,0,1416,1754,118,19,59,36,4,0,20,16,4,14,152,48,270,0,0,270,94,64,13,17,412
Mandurah,Dec-12,0,0,0,0,0,19,16,3,12,12,0,162,14,148,106,48,53,5,16,13,3,26,10,16,3,0,3,12,3,9,356,413,362,51,117,791,0,0,0,0,5,786,348,47,301,11,3,8,0,1680,2036,92,13,46,27,6,0,20,17,3,29,141,29,132,0,0,132,44,25,2,17,205
Mandurah,Jan-13,0,0,0,0,0,26,23,3,15,15,0,138,16,122,102,31,62,9,26,23,3,27,12,15,3,0,3,16,0,16,353,400,331,69,105,757,0,0,0,0,3,754,324,44,280,16,3,13,0,1602,1955,109,11,53,38,7,0,17,14,3,22,148,45,94,1,0,93,76,49,9,18,215
